event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
audio,0,1174917,6388251,6386799,768,59.826,23232,230,1263,0
audio,0,1178510,6388267,6386803,768,59.826,23424,245,1264,0
audio,0,1183114,6388283,6386807,768,59.826,23616,263,1265,0
video,28,1187425,6386817,6386811,368640,59.826,23616,276,1266,0
video,29,1188686,6386783,6386813,276480,59.826,23616,281,1266,0
audio,0,1188892,6388299,6386813,768,59.826,23808,281,1266,0
audio,0,1190088,6388315,6386814,768,59.826,24000,286,1267,0
audio,0,1194778,6388331,6386819,768,59.826,24192,304,1268,0
audio,0,1198235,6388347,6386822,768,59.826,24384,319,1269,0
video,29,1203831,6386834,6386828,368640,59.826,24384,336,1270,0
video,30,1205372,6386799,6386829,276480,59.826,24384,341,1270,0
audio,0,1205627,6388363,6386830,768,59.826,24576,341,1270,0
audio,0,1206826,6388379,6386831,768,59.826,24768,346,1271,0
audio,0,1210332,6388395,6386834,768,59.826,24960,359,1272,0
audio,0,1214885,6388411,6386839,768,59.826,25152,378,1273,0
audio,0,1218371,6388427,6386842,768,59.826,25344,391,1274,0
video,30,1220623,6386851,6386845,368640,59.826,25344,395,1274,0
video,31,1221929,6386816,6386846,276480,59.826,25344,399,1274,0
audio,0,1223286,6388443,6386847,768,59.826,25536,404,1275,0
audio,0,1227959,6388459,6386852,768,59.826,25728,423,1276,0
audio,0,1230319,6388475,6386854,768,59.826,25920,432,1277,0
audio,0,1234950,6388491,6386859,768,59.826,26112,451,1278,0
video,31,1237257,6386868,6386861,368640,59.826,26112,454,1278,0
video,32,1238613,6386833,6386863,276480,59.826,26112,459,1279,0
audio,0,1238778,6388507,6386863,768,59.826,26304,459,1279,0
audio,0,1243520,6388523,6386868,768,59.826,26496,478,1280,0
audio,0,1247045,6388539,6386871,768,59.826,26688,492,1281,0
audio,0,1250563,6388555,6386875,768,59.826,26880,506,1282,0
video,32,1253903,6386884,6386878,368640,59.826,26880,514,1282,0
video,33,1255276,6386849,6386879,276480,59.826,26880,520,1283,0
audio,0,1255452,6388571,6386879,768,59.826,27072,520,1283,0
audio,0,1258908,6388587,6386883,768,59.826,27264,534,1284,0
audio,0,1263611,6388603,6386888,768,59.826,27456,552,1285,0
audio,0,1266038,6388619,6386890,768,59.826,27648,561,1286,0
video,33,1270668,6386901,6386895,368640,59.826,27648,574,1287,0
video,34,1271968,6386866,6386896,276480,59.826,27648,579,1287,0
audio,0,1272138,6388635,6386896,768,59.826,27840,579,1287,0
audio,0,1275609,6388651,6386900,768,59.826,28032,593,1288,0
audio,0,1279118,6388667,6386903,768,59.826,28224,607,1289,0
audio,0,1282640,6388683,6386907,768,59.826,28416,622,1290,0
video,34,1287244,6386918,6386911,368640,59.826,28416,635,1291,0
video,35,1288722,6386883,6386913,276480,59.826,28416,639,1291,0
audio,0,1288896,6388699,6386913,768,59.826,28608,639,1291,0
audio,0,1291250,6388715,6386915,768,59.826,28800,649,1292,0
audio,0,1294732,6388731,6386919,768,59.826,28992,662,1293,0
audio,0,1299347,6388747,6386923,768,59.826,29184,681,1294,0
video,35,1305157,6386934,6386929,368640,59.826,29184,698,1295,0
video,36,1307002,6386900,6386931,276480,59.826,29184,707,1296,0
audio,0,1307263,6388763,6386931,768,59.826,29376,707,1296,0
audio,0,1307400,6388779,6386931,768,59.826,29568,707,1296,0
audio,0,1310901,6388795,6386935,768,59.826,29760,722,1297,0
audio,0,1315541,6388811,6386940,768,59.826,29952,741,1298,0
audio,0,1317876,6388827,6386942,768,59.826,30144,750,1299,0
video,36,1321091,6386951,6386945,368640,59.826,30144,753,1299,0
video,37,1322767,6386916,6386947,276480,59.826,30144,762,1300,0
audio,0,1322994,6388843,6386947,768,59.826,30336,762,1300,0
audio,0,1326545,6388859,6386951,768,59.826,30528,777,1301,0
audio,0,1331170,6388875,6386955,768,59.826,30720,795,1302,0
audio,0,1335726,6388891,6386960,768,59.826,30912,811,1303,0
video,37,1337781,6386968,6386962,368640,59.826,30912,817,1303,0
video,38,1339436,6386933,6386963,276480,59.826,30912,822,1304,0
audio,0,1339689,6388907,6386964,768,59.826,31104,822,1304,0
audio,0,1343216,6388923,6386967,768,59.826,31296,836,1305,0
audio,0,1346721,6388939,6386971,768,59.826,31488,850,1306,0
audio,0,1351366,6388955,6386975,768,59.826,31680,870,1307,0
video,38,1354794,6386985,6386979,368640,59.826,31680,878,1308,0
video,39,1356650,6386950,6386981,276480,59.826,31680,883,1308,0
audio,0,1356934,6388971,6386981,768,59.826,31872,883,1308,0
audio,0,1359338,6388987,6386983,768,59.826,32064,892,1309,0
audio,0,1362888,6389003,6386987,768,59.826,32256,906,1310,0
audio,0,1366432,6389019,6386990,768,59.826,32448,920,1311,0
video,39,1372123,6387001,6386996,368640,59.826,32448,937,1312,0
video,40,1373612,6386966,6386998,276480,59.826,32448,946,1312,0
audio,0,1373808,6389035,6386998,768,59.826,32640,946,1312,0
audio,0,1375081,6389051,6386999,768,59.826,32832,951,1313,0
audio,0,1379694,6389067,6387004,768,59.826,33024,970,1314,0
audio,0,1383196,6389083,6387007,768,59.826,33216,981,1315,0
video,40,1388088,6387018,6387012,368640,59.826,33216,997,1316,0
video,41,1389543,6386983,6387014,276480,59.826,33216,1002,1316,0
audio,0,1389787,6389099,6387014,768,59.826,33408,1002,1316,0
audio,0,1389898,6389115,6387014,768,59.826,33600,1002,1317,0
audio,0,1395674,6389131,6387020,768,59.826,33792,1025,1318,0
